Mary,p,Mary,250.00,10000.00,14-3-2017,Car,1050.00,14-11-2017
Mary,p,Mary,150.00,10000.00,22-4-2017,Car,900.00,14-11-2017
Mary,p,Mary,200.00,10000.00,14-11-2017,Car,2500.00,14-11-2017
Mary,p,Mary,100.00,10000.00,31-12-2017,Car,3000.00,14-11-2017
Mary,p,Mary,100.00,10000.00,20-1-2018,Car,2000.00,14-11-2017
Mary,p,Mary,90.00,10000.00,1-2-2018,Car,1500.00,14-11-2017
Mary,p,Mary,230.00,600.00,14-11-2017,Printer,2500.00,14-11-2017
Mary,p,Mary,110.00,600.00,31-12-2017,Printer,3000.00,14-11-2017
Mary,p,Mary,65.00,600.00,20-1-2018,Printer,2000.00,14-11-2017
Mary,p,Mary,100.00,600.00,1-2-2018,Printer,1500.00,14-11-2017
Mary,c,Joycelyn,600.00,2000.00,14-11-2017,Camera,2500.00,14-11-2017
Mary,c,Joycelyn,800.20,2000.00,31-12-2017,Camera,3000.00,14-11-2017
Mary,c,Joycelyn,450.00,2000.00,20-1-2018,Camera,2000.00,14-11-2017
Mary,c,Joycelyn,150.00,2000.00,1-2-2018,Camera,500.00,14-11-2017
Jeff,p,Jeff,3210.00,20000.00,23-12-2017,Car,0.00,23-12-2017
Jeff,p,Jeff,5000.00,20000.00,3-1-2018,Car,4000.00,23-12-2017
Jeff,p,Jeff,2000.00,20000.00,2-2-2018,Car,1000.00,23-12-2017
Jeff,c,Lucas,150.00,700.00,23-12-2017,Phone,0.00,23-12-2017
Jeff,c,Lucas,320.00,700.00,3-1-2018,Phone,4000.00,23-12-2017
Jeff,c,Lucas,200.00,700.00,2-2-2018,Phone,1000.00,23-12-2017
Jeff,c,Casey,25.00,100.00,23-12-2017,Clothes,0.00,23-12-2017
Jeff,c,Casey,20.00,100.00,3-1-2018,Clothes,4000.00,23-12-2017
Jeff,c,Casey,10.00,100.00,3-2-2018,Clothes,4000.00,23-12-2017
John,p,John,230.00,800.00,16-1-2018,Play Station,1500.00,16-1-2018
